Barrier ID,Site Name,Watershed Name,Crossing Type,Assessment Type Completed,Next Steps,Reason,Notes,Supporting Links
197664,Barren Cr @ Hwy 16 (197664),BULK,Stream crossing - CBS,Habitat confirmation,Engage with barrier owner,"Very high quality habitat, current culvert affected by regular dredging and sediment buildup",Preliminary design was completed 2020 but no timeline for finalizing and completing upgrades ,https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---197665-197664-3042---barren-creek.html
197665,Barren Cr @ Railway (197665),BULK,Stream crossing - CBS,Habitat confirmation,Engage with barrier owner,Culvert at end of life and needs replacing. Very high quality habitat. ,Preliminary designs complete but don't meet CN standards. Further conversations with CN required. Cost of replacement will depend on preferred structure/solution,https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---197665-197664-3042---barren-creek.html 
197960,Corya Cr @ Railway (197960),BULK,Stream crossing - CBS,Habitat confirmation,Engage with barrier owner,Discuss deferring to end of life cycle,Large culvert. Dolly Varden captured upstream and downstream. High quality habitat but glaciated and unlikely to support salmon.,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/corya-creek---197960---appendix.html
197975,Ailport Cr @ Private (197975),BULK,Stream crossing - CBS,Habitat confirmation,Engage with barrier owner,"Abundant fish present, non-highway barrier","Initial contact with landowner seemed open to replacement; however, landowner became unresponsive in 2021. Continue to work with landowner for potential solution",https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/ailport-creek---197976-197975---appendix.html
198049,Cesford Cr @ Hwy 118 (198049),BULK,Stream crossing - CBS,Habitat confirmation,Engage with barrier owner,Need to determine status of CN Rail crossing downstream before proceeding to design,Fish observed in outlet pool,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/cesford-creek---198048-198049---appendix.html
199447,Maish Cr @ Upper Fulton FSR (199447),BULK,Stream crossing - CBS,Barrier assessment,Engage with barrier owner,Industry barrier with Dolly Varden presence and spawning confirmed,See Triton 1996 report in supporting links,https://a100.gov.bc.ca/pub/acat/documents/r2651/2651-1_1520022508712_0021917326.pdf
199448,Trib to Klo Cr @ Klo Cr FSR (199448),BULK,Stream crossing - CBS,Barrier assessment,In-depth habitat investigation (data deficient structures only),Fish observed but not clear on species,Complete fish sampling to determine species present before presenting to barrier owner.,
199451,Trib to Klo Cr @ Foxy FSR (199451),BULK,Stream crossing - CBS,Barrier assessment,Engage with barrier owner,Industry barrier with fish observed downstream,,
58067,Gramophone Cr @ Telkwa High Rd (58067),BULK,Stream crossing - CBS,Habitat confirmation,Commission engineering designs,Canyon downstream acts as low flow barrier for steelhead and full barrier to Coho. Locally important to Witset and as a steelhead stream.,,https://www.newgraphenvironment.com/fish_passage_bulkley_2022_reporting/gramophone-creek---58067---appendix.html
198106,Trib to Waterfall Cr @ 13th Ave (198106/198115),,Stream crossing - CBS,Barrier assessment,Engage in public consultation,High quality habitat. Unmapped/incorrectly mapped stream in Freshwater Atlas,Abundant juveniles observed upstream,https://www.newgraphenvironment.com/fish_passage_bulkley_2022_reporting/waterfall-creek---198116-198117-198115---appendix.html
198107,Trib to Waterfall Cr @ Hwy 16 (198107/198116),,Stream crossing - CBS,Habitat confirmation,Engage in public consultation,Currently passable to adult fish but could be barrier to some juveniles. Conditions could degrade over time. Stream unmapped/incorrectly mapped in Freshwater Atlas.,Excellent habitat up to impassable falls.,https://www.newgraphenvironment.com/fish_passage_bulkley_2022_reporting/waterfall-creek---198116-198117-198115---appendix.html
198108,Trib to Waterfall Cr @ 9th Ave (198108/198117),,Stream crossing - CBS,Barrier assessment,Engage in public consultation,Barrier to fish passage. Currently a double culvert with blockages in one culvert. Stream unmapped/incorrectly mapped in Freshwater Atlas.,Coho spotted upstream ,https://www.newgraphenvironment.com/fish_passage_bulkley_2022_reporting/waterfall-creek---198116-198117-198115---appendix.html
